Date,Volume,Volume Weight,Open,Close,High,Low,Transactions
2022-05-24,207184.76101635565,1958.5492,1970.85,1978.15,1992.6,1909.51,510712
2022-05-25,200481.0137310592,1968.6082,1977.94,1940.47,2021.8,1932.12,505721
2022-05-26,431035.8212458964,1841.3802,1940.48,1790.65,1964.8632284,1731.0,869246
2022-05-27,473387.3165079779,1756.6916,1791.8,1724.82,1822.8,1702.53,1040638
2022-05-28,184591.58670323578,1770.232,1724.81,1790.23,1809.5,1719.76,597795
2022-05-29,153772.73237737353,1795.2861,1790.22,1811.09,1828.3,1760.32,622480
2022-05-30,331115.23081552243,1918.4246,1814.1,1998.29,2013.3,1801.21,765626
2022-05-31,324132.6373577144,1967.4502,1998.15,1940.59,2016.3,1921.72,720683
2022-06-01,453642.3030053563,1883.3481,1940.49,1816.05,1973.5,1761.59,823579
2022-06-02,279400.2254790793,1818.5285,1816.0,1832.45,1854.8,1780.0,687140
2022-06-03,261694.76122382036,1774.1829,1832.62,1773.25,1844.8,1735.79,650390
2022-06-04,106296.67987663075,1774.7445,1773.11,1803.38,1816.9,1746.6,393002
2022-06-05,95795.32199350209,1804.1183,1803.63,1804.7,1831.0,1769.37,296061
2022-06-06,259455.44591349456,1874.8478,1804.78,1858.21,1920.0,1802.52,563982
2022-06-07,311014.17091793625,1783.7165,1858.45,1811.86,1875.36,1723.61,661977
2022-06-08,223968.88853517058,1802.9653,1812.17,1790.72,1840.2,1763.69,599646
2022-06-09,163064.67383073055,1797.62,1790.65,1787.55,1835.2,1775.67,509995
2022-06-10,346720.80904811533,1716.3977,1787.44,1660.55,1806.4,1652.75,724002
2022-06-11,446765.3274873212,1570.5416,1663.5,1531.13,1683.8,1498.46,899903
2022-06-12,458074.2699105759,1476.361,1533.7,1433.19,1548.6,1421.0,1008972
2022-06-13,1362567.2825612444,1261.6566,1432.94,1207.82,1456.5,1163.1,1956300
2022-06-14,960550.1853147689,1185.6304,1211.3,1207.58,1268.17026948,1073.0,1466607
2022-06-15,1224128.1937187507,1123.9438,1207.58,1236.45,1251.2,1012.72,1632148
2022-06-16,568835.9439544926,1129.3092,1236.45,1066.87,1258.2,1050.39,1186198
2022-06-17,434709.35498460033,1085.3216,1067.11,1085.76,1118.9,1049.19,1070809
2022-06-18,891893.0855737156,972.2606,1085.65,993.64,1096.64,879.8,1255678
2022-06-19,613117.8706429591,1041.401,995.08,1126.89,1174.0,933.6,1200781
2022-06-20,428697.6930972901,1108.4429,1126.97,1126.91316468,1169.87,1051.3,1105379
2022-06-21,406041.8989487618,1148.3606,1127.05,1124.87,1193.0,1107.87,923901
2022-06-22,377490.4791899152,1084.8181,1124.9,1048.43,1126.44,1041.6,956786
2022-06-23,345254.3507920309,1106.9304,1048.93,1144.0,1153.12,1043.2,950564
2022-06-24,391951.9442805839,1191.4087,1142.7,1224.47,1245.2,1130.4,943664
2022-06-25,223252.01710282796,1214.5593,1224.26,1241.26,1257.0,1177.4,742583
2022-06-26,304088.1190592827,1229.1032,1241.14,1197.08,1281.89,1194.01,734640
2022-06-27,277250.9352598367,1203.3999,1196.99,1191.28,1239.0,1171.0,671664
2022-06-28,312563.60311645374,1188.1122,1191.26,1142.48,1237.9,1134.9,742366
2022-06-29,387594.5717907369,1114.0754,1142.47,1099.15,1156.6,1085.41,766069
2022-06-30,479844.4736210687,1040.725,1099.09,1070.08,1106.2,997.0,789028
2022-07-01,432731.3143519067,1067.6427,1070.08,1057.85,1115.84,1031.86,610475
2022-07-02,170866.36122141898,1053.807,1058.35,1065.61,1078.0,1025.54,307370
2022-07-03,156106.5429228304,1063.4869,1065.58,1072.88,1087.33,1039.55,267210
2022-07-04,291446.84075709846,1100.5627,1072.94,1149.98,1160.7,1043.11,549078
2022-07-05,360111.17200496164,1127.3298,1149.98,1131.08,1173.0,1075.7,710383
2022-07-06,372700.8663513733,1145.9684,1131.16,1185.61,1203.8,1110.56,754828
2022-07-07,441612.3130033927,1211.9266,1185.8,1237.13,1254.04,1162.32,701401
2022-07-08,461849.22456001944,1232.0082,1235.5,1213.19,1276.85,1192.16,754360
2022-07-09,176036.70030944556,1217.5671,1213.38,1216.79,1234.17,1203.7,582770
2022-07-10,159861.37365784877,1178.0464,1216.78,1167.68,1219.7,1153.05721268,430534
2022-07-11,304690.5125712822,1132.1004,1168.65353848,1095.56,1171.4,1079.8,450259
2022-07-12,425995.9344488143,1066.2901,1095.48,1037.34,1097.35,1029.9,509407
2022-07-13,683748.1938507226,1055.5592,1037.17660264,1114.26,1119.64474168,1005.25,706460
2022-07-14,460258.4176575222,1136.5097,1114.92998345,1192.6,1214.4,1071.0,571101
2022-07-15,596771.1840988076,1226.77,1192.6,1231.1,1288.88,1180.16,645791
2022-07-16,417687.2573035699,1301.4743,1231.06,1355.7,1430.3,1190.9,588057
2022-07-17,358754.9768147802,1353.1373,1355.43,1338.15,1388.0,1318.79,548083
2022-07-18,819170.3439231102,1474.9739,1337.94,1581.34,1597.58,1335.35,969621
2022-07-19,687704.0042613612,1547.5462,1581.09,1542.63,1633.88,1489.9,981465
2022-07-20,517307.89411219046,1562.7337,1542.6,1522.04,1622.94,1482.66,753095
2022-07-21,438805.44271209463,1522.0185,1521.88,1575.4,1606.42,1463.26,656242
2022-07-22,400363.0245945614,1588.4146,1575.33,1535.84,1647.9,1516.3,629188
2022-07-23,223927.65412144398,1534.7061,1535.33,1549.15,1596.9,1487.14,402499
2022-07-24,239595.42411960766,1601.9392,1548.76205262,1597.72,1665.4,1545.2,392744
2022-07-25,421758.58762157214,1513.7898,1598.12,1440.46,1610.0,1433.91,560076
2022-07-26,386544.68816284393,1402.9511,1440.4,1449.2,1455.7,1355.34,576042
2022-07-27,508887.3998965716,1527.6339,1449.63,1637.83,1645.46,1420.66,706878
2022-07-28,585662.7460918734,1684.0151,1636.53,1725.19,1792.55,1592.36,821809
2022-07-29,419199.70747307467,1711.2917,1725.2,1722.24,1766.56,1655.47,667751
2022-07-30,245933.8782065291,1712.5631,1722.46,1698.01,1745.05,1673.4,423356
2022-07-31,182607.27795667347,1706.1971,1698.11,1679.31,1754.6,1666.1,357128
2022-08-01,274438.96483911294,1653.4657,1677.7,1630.83,1705.0,1605.2,488027
2022-08-02,332040.7622185057,1615.8621,1628.93788706,1631.28,1680.54,1559.18,570467
2022-08-03,394785.6293307425,1646.2034,1630.82,1618.82,1685.87,1589.0,552042
2022-08-04,426281.39007993456,1618.9997,1618.78,1608.16,1663.65,1579.2,645182
2022-08-05,555164.2211590545,1678.9389,1608.16,1736.79,1742.52,1605.26060135,944661
2022-08-06,330656.66930617805,1720.2384,1735.9,1691.12,1750.0,1684.0,629035
2022-08-07,218200.14960292226,1697.1248,1689.3,1699.7,1730.26,1668.63736258,509517
2022-08-08,458784.69005650055,1767.7102,1700.52,1777.36,1818.55,1693.2,634718
2022-08-09,439195.96390880906,1716.7214,1777.25,1703.35,1791.33,1668.0,801204
2022-08-10,619800.5535621302,1785.0155,1702.9,1854.12,1886.36,1654.2,1028894
2022-08-11,567851.7963722334,1894.9396,1854.42,1881.04,1946.21,1850.3,1045817
2022-08-12,360100.1436966964,1901.9365,1880.91,1959.88,1966.89,1850.51,813952
2022-08-13,348052.157351793,1985.422,1959.94,1984.75,2021.61,1946.3,788031
2022-08-14,305669.24465111125,1971.3503,1984.72,1935.85,2031.39,1905.33,717653
2022-08-15,551522.7696977402,1919.6696,1936.0,1899.39,2013.47,1866.51,928918
2022-08-16,408439.03552975913,1883.1133,1899.05,1876.74,1915.6,1851.0,819461
2022-08-17,539156.1008924076,1867.2029,1877.11,1834.61,1957.59,1811.6,890057
