Date,Volume,Volume Weight,Open,Close,High,Low,Transactions
2022-04-11,27235.560228572213,40772.3447,42165.96,39535.87,42437.0,39204.59,796390
2022-04-12,20144.16088190374,39991.8974,39535.88,40085.91,40770.0,39250.0,709450
2022-04-13,18440.079668731592,40631.2214,40086.7,41146.68,41570.88,39550.0,583989
2022-04-14,16081.40543390818,40547.9971,41149.56,39954.08,41512.43,39573.8,615110
2022-04-15,9830.457335317227,40270.541,39953.62,40554.59,40890.3,39770.22,478718
2022-04-16,6159.946389804657,40385.7214,40562.71,40387.6,40717.0,40005.0,363434
2022-04-17,7472.211010735584,40201.1741,40391.31,39681.2,40652.8,39553.07,358519
2022-04-18,20709.555723460853,39739.297,39677.48,40803.58,41127.50821203,38547.0,652003
2022-04-19,14030.345019206528,41207.2012,40810.87,41501.57,41825.8,40571.99,500369
2022-04-20,20189.074308499396,41517.7048,41501.57,41377.61,42235.7,40900.0,615058
2022-04-21,25086.275834841395,41662.3036,41370.0,40483.49,43109.47,39744.75,763637
2022-04-22,23215.708037402394,39976.4074,40483.38,39712.25,40802.65,39139.0,766859
2022-04-23,9688.332320807216,39693.1106,39712.21,39465.87,40103.0,39296.19,427793
2022-04-24,9762.986308339385,39578.635,39459.63,39464.56,39973.0,38942.0,444174
2022-04-25,30658.918439256428,39202.7777,39463.75,40439.22,40635.0,38200.0,975673
2022-04-26,30830.38264064113,39083.3744,40440.9,38121.7,40817.16,37672.0,896952
2022-04-27,28414.833645582275,38872.5686,38118.43,39251.08,39496.0,37882.83,814836
2022-04-28,24501.319340794013,39658.5763,39251.49,39743.22,40400.0,38883.83,830481
2022-04-29,19926.851679843396,38938.6219,39741.21,38593.1,39927.17935766,38131.8,827474
2022-04-30,10935.769506068229,38357.5012,38592.94,37644.09,38811.0,37590.0,503671
2022-05-01,12672.794822166486,38076.2138,37659.0,38473.05,38714.0,37399.4,490538
2022-05-02,24181.92886324822,38654.64,38469.49,38510.89,39208.80322028,38011.0,669768
2022-05-03,23445.840828931952,38141.8178,38510.88,37719.59,38673.49243394,37505.01,594932
2022-05-04,29843.119811621807,39067.9538,37716.96,39669.56,40046.0,37651.38,699903
2022-05-05,43675.324508785525,37400.7132,39669.56,36537.22,39864.55,35407.0,979841
2022-05-06,39121.29664052522,36076.1965,36537.22,35999.1,36685.0,35255.4,967590
2022-05-07,16446.947948096054,35638.6851,35999.1,35458.0,36170.0,34755.0,506343
2022-05-08,32652.939824415735,34466.1272,35458.0,34027.91,35541.0,33700.0,732570
2022-05-09,87684.8343277313,32004.0956,34033.49,30078.27,34277.0,30010.0,1733072
2022-05-10,80410.82437760907,31238.8884,30078.27,31002.39,32687.0,29735.05,1842884
2022-05-11,112792.86753409395,30114.1586,31002.39,28972.34,32227.0,27682.38,2308013
2022-05-12,117116.2959798166,28092.5767,29149.69356674,28941.95,30270.0,25332.8,2528596
2022-05-13,47658.11862981037,30152.2959,28941.95,29232.18,31136.0,28662.7,1220353
2022-05-14,22123.122598362865,29379.3119,29234.74,30045.23,30416.94862318,28564.38,719165
2022-05-15,20761.234484252032,30258.3426,30041.9,31290.05,31500.0,29436.06,678502
2022-05-16,30870.799381843717,29936.5178,31294.5,29839.89,31324.08253275,29055.0,883678
2022-05-17,25720.155700995663,30223.284,29839.89,30412.12,30773.0,29403.0,699346
2022-05-18,36474.64799743211,29409.2551,30412.1,28664.3,30702.0,28589.1,795870
2022-05-19,37222.946213405405,29680.7188,28669.76,30274.59,30550.0,28645.2,783500
2022-05-20,41985.1531573313,29697.8106,30274.59,29202.32017749,30769.0,28690.92,850269
2022-05-21,12304.13832142535,29298.1549,29151.82,29408.26,29654.0,28913.26,405709
2022-05-22,16321.478451116647,29920.8234,29407.4,30260.87,30500.0,29211.0,443574
2022-05-23,31230.90272994347,29962.1253,30279.0,29082.52,30666.0,28829.5,690692
2022-05-24,22789.88240146953,29221.0172,29102.0,29627.24,29854.0,28611.0,604839
